name,category,description,connect_ok,ja4,request_ok,active,apply_ok,mismatch_mask,effective_tls_min,effective_tls_max,strict,sni_mode,enable_grease,enable_ch_xtn_permutation,effective_grease_cipher,final_cipher_suites,final_extension_order,final_signature_algorithms,final_supported_versions,final_supported_groups,final_key_share_groups,final_psk_key_exchange_modes,ja4_local,ja4_part_a,ja4_part_b,ja4_part_c,local_live_match,matches_baseline_ja4,part_a_changed,part_b_changed,part_c_changed,changed_segment_count,assessment,requested_alpn
baseline-default,baseline,"Default bssl fingerprint — no JA4 config, pure upstream BoringSSL output.",True,t13d171000_5b57614c22b0_78e6aca7449b,True,0,1,0,771,772,0,0,0,0,0x7a7a,"4865,4866,4867,49195,49199,49196,49200,52393,52392,49161,49171,49162,49172,156,157,47,53","0,23,65281,10,11,35,13,51,45,43","1027,2052,1025,1283,2053,1281,2054,1537,513","772,771","29,23,24",29,1,t13d171000_5b57614c22b0_78e6aca7449b,t13d171000,5b57614c22b0,78e6aca7449b,True,True,False,False,False,0,reference,
replay-baseline-exact,replay,Exact replay of the observed default bssl fingerprint.,False,,False,1,0,66,771,772,1,1,0,0,0x9a9a,,,,,,,,,,,,,False,True,True,True,3,failed,"h2,http/1.1"
exact-compact-tls13,targeted_exact,"Exact TLS 1.3-only profile: only three TLS 1.3 ciphers, minimal extensions.",True,t13d0309h2_55b375c5d22e_0a6e5608a8a8,True,1,1,0,771,772,1,1,0,0,0xaaaa,"4865,4866,4867","0,10,13,16,51,45,43,23,65281","1027,2052,1283,2053","772,771","29,23,24",29,1,t13d0309h2_55b375c5d22e_0a6e5608a8a8,t13d0309h2,55b375c5d22e,0a6e5608a8a8,True,False,True,True,True,3,high_targeted_spoof,"h2,http/1.1"
exact-http1-tls12only,targeted_exact,"TLS 1.2 max, HTTP/1.1 only ALPN, reduced cipher list.",False,,False,1,0,66,771,772,1,1,0,0,0x1a1a,,,,,,,,,,,,,False,True,True,True,3,failed,http/1.1
reorder-cipher-prefix,targeted_reorder,Reorder: put ChaCha20 and AES-256 first before default ordering.,True,t13d171000_5b57614c22b0_78e6aca7449b,True,1,1,0,771,772,0,1,0,0,0x7a7a,"4867,4866,49196,49200,4865,49195,49199,52393,52392,49161,49171,49162,49172,156,157,47,53","0,23,65281,10,11,35,13,51,45,43","1027,2052,1025,1283,2053,1281,2054,1537,513","772,771","29,23,24",29,1,t13d171000_5b57614c22b0_78e6aca7449b,t13d171000,5b57614c22b0,78e6aca7449b,True,True,False,False,False,0,low_or_no_effect,
reorder-ext-prefix,targeted_reorder,Reorder: put sigalgs and supported_versions first in extension list.,True,t13d171000_5b57614c22b0_78e6aca7449b,True,1,1,0,771,772,0,1,0,0,0x6a6a,"4865,4866,4867,49195,49199,49196,49200,52393,52392,49161,49171,49162,49172,156,157,47,53","13,43,51,45,10,0,23,65281,11,35","1027,2052,1025,1283,2053,1281,2054,1537,513","772,771","29,23,24",29,1,t13d171000_5b57614c22b0_78e6aca7449b,t13d171000,5b57614c22b0,78e6aca7449b,True,True,False,False,False,0,low_or_no_effect,
grease-on-fixed-3a3a,targeted_exact,GREASE enabled with fixed deterministic value 0x3a3a for reproducibility.,True,t13d171100_5b57614c22b0_ef7df7f74e48,True,1,1,0,771,772,0,1,1,0,0x3a3a,"14906,4865,4866,4867,49195,49199,49196,49200,52393,52392,49161,49171,49162,49172,156,157,47,53","14906,0,23,65281,10,11,35,13,51,45,43,10794,21","1027,2052,1025,1283,2053,1281,2054,1537,513","14906,772,771","14906,29,23,24","14906,29",1,t13d171100_5b57614c22b0_ef7df7f74e48,t13d171100,5b57614c22b0,ef7df7f74e48,True,False,True,False,True,2,high_targeted_spoof,
grease-off-no-permute,targeted_exact,"GREASE disabled, extension permutation disabled — fully deterministic output.",True,t13d171000_5b57614c22b0_78e6aca7449b,True,1,1,0,771,772,0,1,0,0,0x6a6a,"4865,4866,4867,49195,49199,49196,49200,52393,52392,49161,49171,49162,49172,156,157,47,53","0,23,65281,10,11,35,13,51,45,43","1027,2052,1025,1283,2053,1281,2054,1537,513","772,771","29,23,24",29,1,t13d171000_5b57614c22b0_78e6aca7449b,t13d171000,5b57614c22b0,78e6aca7449b,True,True,False,False,False,0,low_or_no_effect,
exact-chromium-like,targeted_exact,"Chromium/BoringSSL default profile from chromium-boringssl-ja4.yaml: TLS 1.3 preferred, h2+http/1.1, standard Chromium extension set.",False,,False,1,0,64,771,772,1,1,0,0,0xcaca,,,,,,,,,,,,,False,True,True,True,3,failed,"h2,http/1.1"
sni-suppressed,targeted_exact,SNI suppressed (sni_mode=none) — JA4 sni_flag becomes 'i'.,False,,False,1,1,0,771,772,0,3,0,0,0x0a0a,"4865,4866,4867,49195,49199,49196,49200,52393,52392,49161,49171,49162,49172,156,157,47,53","23,65281,10,11,35,13,51,45,43","1027,2052,1025,1283,2053,1281,2054,1537,513","772,771","29,23,24",29,1,t13i170900_5b57614c22b0_78e6aca7449b,t13i170900,5b57614c22b0,78e6aca7449b,,False,True,False,False,1,failed,
