name,category,description,config_path,request_ok,ja4,apply_ok,mismatch_mask,tls_min,tls_max,alpn,sni_mode,cipher_suites,cipher_count,extension_order,extension_count,supported_versions,supported_groups,key_share_groups,psk_key_exchange_modes,signature_algorithms,enable_grease,enable_ch_xtn_permutation,part_a,part_b,part_c,part_a_raw,transport,tls_version_token,sni_flag,cipher_count_token,extension_count_token,alpn_token,dump_cipher_len,dump_extension_len,dump_group_len,dump_key_share_len,matches_baseline_ja4,part_a_changed_vs_baseline,part_b_changed_vs_baseline,part_c_changed_vs_baseline,changed_segment_count_vs_baseline,assessment,strict,cipher_mode,extension_mode,error
baseline-default,baseline,Current default patched Firefox fingerprint without explicit NSS_JA4_CONFIG.,,True,t13d1514h2_8daaf6152771_4e21baae1cb2,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27,65037",17,"772,771","4588,29,23,24,25,256,257","4588,29,23",1,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,0,t13d1514h2,8daaf6152771,4e21baae1cb2,t13d1514h2,t,13,d,15,14,h2,15,17,7,3,True,False,False,False,0,reference,,,,
replay-current-exact,replay,Exact replay of the currently observed default fingerprint.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-5b18868c/nss.conf,True,t13d1514h2_8daaf6152771_4e21baae1cb2,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27,65037",17,"772,771","4588,29,23,24,25,256,257","4588,29,23",1,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,0,t13d1514h2,8daaf6152771,4e21baae1cb2,t13d1514h2,t,13,d,15,14,h2,15,17,7,3,True,False,False,False,0,very_high_exact_replay,1,exact,exact,
reorder-prefix-http-fields,targeted_reorder,Only reorder a chosen extension prefix while preserving the rest.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-sq7h6csl/nss.conf,True,t13d1514h2_8daaf6152771_4e21baae1cb2,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"16,43,13,45,0,23,65281,10,11,35,5,34,18,51,28,27,65037",17,"772,771","4588,29,23,24,25,256,257","4588,29,23",1,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,0,t13d1514h2,8daaf6152771,4e21baae1cb2,t13d1514h2,t,13,d,15,14,h2,15,17,7,3,True,False,False,False,0,low_or_no_effect,1,,reorder,
exact-http1-compact,targeted_exact,Exact TLS 1.3 profile with compact cipher list and HTTP/1.1 only.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-p1u6tf85/nss.conf,True,t13d0514h1_e133e205ac38_8c1508522488,1,0,771,772,http/1.1,present,"4865,4867,4866,49195,49199",5,"0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27",16,"772,771","29,23,24",29,1,"1027,1283,1539,2052,2053",0,0,t13d0514h1,e133e205ac38,8c1508522488,t13d0514h1,t,13,d,5,14,h1,5,16,3,1,False,True,True,True,3,high_targeted_spoof,1,exact,exact,
exact-tls12-http1,targeted_exact,Force a TLS 1.2 / HTTP/1.1 style profile.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-iih7485y/nss.conf,True,t12d1210h1_d34a8e72043a_f044b497c07a,1,0,771,771,http/1.1,present,"49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",12,"0,23,65281,10,11,35,16,5,18,13,28",11,,"29,23,24,25",,,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,0,t12d1210h1,d34a8e72043a,f044b497c07a,t12d1210h1,t,12,d,12,10,h1,12,11,4,,False,True,True,True,3,high_targeted_spoof,1,,,
exact-h2-only,targeted_exact,Restrict ALPN to h2 only while keeping TLS 1.3 exact mode.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-j8c8vtv1/nss.conf,False,,1,0,771,772,h2,present,"4865,4867,4866,49195,49199,52393,52392",7,"0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27",16,"772,771","29,23,24",29,1,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,0,,,,,,,,,,,7,16,3,1,False,True,True,True,3,failed,1,exact,exact,"WebDriverException: Message: Reached error page: about:neterror?e=nssFailure2&u=https%3A//ja4-observer.example/raw&c=UTF-8&d=%20
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
UnknownError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:910:5
checkReadyState@chrome://remote/content/marionette/navigate.sys.mjs:59:24
onNavigation@chrome://remote/content/marionette/navigate.sys.mjs:348:39
emit@resource://gre/modules/EventEmitter.sys.mjs:156:19
receiveMessage@chrome://remote/content/marionette/actors/MarionetteEventsParent.sys.mjs:33:25
"
exact-alt-groups,targeted_exact,Use a narrower group and key_share set.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-z6nr4bm9/nss.conf,True,t13d1514h2_8daaf6152771_4e21baae1cb2,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27",16,"772,771","29,23",29,1,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,0,t13d1514h2,8daaf6152771,4e21baae1cb2,t13d1514h2,t,13,d,15,14,h2,15,16,2,1,True,False,False,False,0,low_or_no_effect,1,,exact,
exact-alt-signatures,targeted_exact,Alter the signature algorithm ordering in exact mode.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-mo43xm59/nss.conf,True,t13d1514h2_8daaf6152771_33394705ba66,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27",16,"772,771","29,23,24",29,1,"2052,2053,1027,1283",0,0,t13d1514h2,8daaf6152771,33394705ba66,t13d1514h2,t,13,d,15,14,h2,15,16,3,1,False,False,False,True,1,medium_targeted_spoof,1,,exact,
random-grease-only,randomized,Enable GREASE while keeping extension permutation disabled.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-hmlu9rls/nss.conf,True,t13d1514h2_8daaf6152771_2a4d78a5e06f,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"6682,0,23,65281,10,11,35,16,5,34,18,51,43,13,45,28,27,39578,65037",19,"772,771,19018","4588,29,23,24,25,256,257,56026","4588,29,23,56026","1,228","1027,1283,1539,2052,2053,2054,1025,1281,1537,513",1,0,t13d1514h2,8daaf6152771,2a4d78a5e06f,t13d1514h2,t,13,d,15,14,h2,15,19,8,4,False,False,False,True,1,medium_hash_randomization,0,,,
random-permute-only,randomized,Enable extension permutation while GREASE remains disabled.,/var/folders/d6/1gq_px0n5pn4jwg52v_tf4b00000gn/T/ff-ja4-case-wdb4tldy/nss.conf,True,t13d1514h2_8daaf6152771_4e21baae1cb2,1,0,771,772,"h2,http/1.1",present,"4865,4867,4866,49195,49199,52393,52392,49196,49200,49171,49172,156,157,47,53",15,"23,10,16,28,18,5,35,43,13,34,45,0,27,65281,51,11,65037",17,"772,771","4588,29,23,24,25,256,257","4588,29,23",1,"1027,1283,1539,2052,2053,2054,1025,1281,1537,513",0,1,t13d1514h2,8daaf6152771,4e21baae1cb2,t13d1514h2,t,13,d,15,14,h2,15,17,7,3,True,False,False,False,0,low_or_no_effect,0,,,
