combo,seed,ja4_full,ja4_a,ja4_b,ja4_c,ja4_a_changed,ja4_b_changed,ja4_c_changed,cipher_count,ext_count,sigalg_count,tls_handshake_ok
QuickDefault,0,t13d1716h2_5b57614c22b0_21cdad84077a,t13d1716h2,5b57614c22b0,21cdad84077a,False,False,True,17,16,9,True
QuickDefault,1,t13d1716h2_5b57614c22b0_75129e95da42,t13d1716h2,5b57614c22b0,75129e95da42,False,False,True,17,16,9,True
QuickDefault,2,t13d1716h2_5b57614c22b0_8d153328c613,t13d1716h2,5b57614c22b0,8d153328c613,False,False,True,17,16,9,True
QuickDefault,3,t13d1716h2_5b57614c22b0_e192a99564bd,t13d1716h2,5b57614c22b0,e192a99564bd,False,False,True,17,16,9,True
QuickDefault,4,t13d1716h2_5b57614c22b0_303fa97fa460,t13d1716h2,5b57614c22b0,303fa97fa460,False,False,True,17,16,9,True
QuickDefault,5,t13d1716h2_5b57614c22b0_f724c8fd1382,t13d1716h2,5b57614c22b0,f724c8fd1382,False,False,True,17,16,9,True
QuickDefault,6,t13d1716h2_5b57614c22b0_17cdad5e8e50,t13d1716h2,5b57614c22b0,17cdad5e8e50,False,False,True,17,16,9,True
QuickDefault,7,t13d1716h2_5b57614c22b0_1f9d70e089a9,t13d1716h2,5b57614c22b0,1f9d70e089a9,False,False,True,17,16,9,True
QuickDefault,8,t13d1716h2_5b57614c22b0_ab20a15fe33a,t13d1716h2,5b57614c22b0,ab20a15fe33a,False,False,True,17,16,9,True
QuickDefault,9,t13d1716h2_5b57614c22b0_3951f7d17103,t13d1716h2,5b57614c22b0,3951f7d17103,False,False,True,17,16,9,True
QuickDefault,10,t13d1716h2_5b57614c22b0_3ce9e76f6389,t13d1716h2,5b57614c22b0,3ce9e76f6389,False,False,True,17,16,9,True
QuickDefault,11,t13d1716h2_5b57614c22b0_eb2a42787b93,t13d1716h2,5b57614c22b0,eb2a42787b93,False,False,True,17,16,9,True
QuickDefault,12,t13d1716h2_5b57614c22b0_eafa5940c712,t13d1716h2,5b57614c22b0,eafa5940c712,False,False,True,17,16,9,True
QuickDefault,13,t13d1716h2_5b57614c22b0_044c9a5dc13d,t13d1716h2,5b57614c22b0,044c9a5dc13d,False,False,True,17,16,9,True
QuickDefault,14,t13d1716h2_5b57614c22b0_8b3db1e66170,t13d1716h2,5b57614c22b0,8b3db1e66170,False,False,True,17,16,9,True
QuickDefault,15,t13d1716h2_5b57614c22b0_f6b888eb21fc,t13d1716h2,5b57614c22b0,f6b888eb21fc,False,False,True,17,16,9,True
QuickDefault,16,t13d1716h2_5b57614c22b0_7e44ff9a1d9d,t13d1716h2,5b57614c22b0,7e44ff9a1d9d,False,False,True,17,16,9,True
QuickDefault,17,t13d1716h2_5b57614c22b0_d0e9b7e4d2ab,t13d1716h2,5b57614c22b0,d0e9b7e4d2ab,False,False,True,17,16,9,True
QuickDefault,18,t13d1716h2_5b57614c22b0_e85d3142cf00,t13d1716h2,5b57614c22b0,e85d3142cf00,False,False,True,17,16,9,True
